My key	samples_metaG	samples_metaT	Depth	SizeFraction	Season	OxCond	Fluorescence	BeamAtt	O2	Temp	Salinity	H2S	ParticulateS	TZVS	CH4	NO3	NO2	NH4	PO4	Chemoautotrophy	BNP	MicroAbun(x10^8 L^-1)	FlagAbun(x10^5 L-1)	VLP(x10^8 L-1)
OxicMay1PA	D3a103A	R2a103A	103	PA	May	Oxycline	0.0509	0.0911	122.9	19.7	36.7	0	0	0	0.02	8.84	0.15	0.39	0.54	0.33	1.36	6.41	0.21	1.97
OxicMay2PA	D3b103A	R3b103A	103	PA	May	Oxycline	0.0509	0.0911	122.9	19.7	36.7	0	0	0	0.02	8.84	0.15	0.39	0.54	0.33	1.36	6.41	0.21	1.97
MicroOxMay1PA	D3a198A	R2a198A	195	PA	May	Oxycline	-0.0123	0.1249	31.9	18.1	36.4	0	0	0	0.02	10.97	0.03	0.58	1.53	0.78	0.45	4.75	0.6	1.33
MicroOxMay2PA	D3b198A	R2b198A	195	PA	May	Oxycline	-0.0123	0.1249	31.9	18.1	36.4	0	0	0	0.02	10.97	0.03	0.58	1.53	0.78	0.45	4.75	0.6	1.33
SubOxMay1PA	D3a234A	R2a234A	235	PA	May	Oxycline	-0.0087	0.0492	12	17.9	36.4	0	0.03	0.02	0.08	8.85	0.02	0.43	1.81	0.36	0.46	4.24	0.28	0.85
SubOxMay2PA	D3b234A	R2b234A	235	PA	May	Oxycline	-0.0087	0.0492	12	17.9	36.4	0	0.03	0.02	0.08	8.85	0.02	0.43	1.81	0.36	0.46	4.24	0.28	0.85
IntMay1PA	D3a295A	R2a295A	296	PA	May	Suboxic	-0.0005	0.0767	0	17.7	36.4	0	0.14	0.22	0.81	0.4	0.01	2.01	2.49	6.52	1.76	6.95	1.55	9.89
IntMay2PA	D3b295A	R2b295A	296	PA	May	Suboxic	-0.0005	0.0767	0	17.7	36.4	0	0.14	0.22	0.81	0.4	0.01	2.01	2.49	6.52	1.76	6.95	1.55	9.89
AnoxMay1PA	D3a314A	R2a314A	315	PA	May	ShallowAnoxic	0.0362	0.0485	0	17.6	36.4	6.76	0.46	0.2	1.75	0.02	0	4.56	2.97	12.12	1.35	5.39	0.72	1.54
AnoxMay2PA	D3b314A	R2b314A	315	PA	May	ShallowAnoxic	0.0362	0.0485	0	17.6	36.4	6.76	0.46	0.2	1.75	0.02	0	4.56	2.97	12.12	1.35	5.39	0.72	1.54
OxicMay1FL	D3a103B	R2a103B	103	FL	May	Oxycline	0.0509	0.0911	122.9	19.7	36.7	0	0	0	0.02	8.84	0.15	0.39	0.54	0.33	1.36	6.41	0.21	1.97
OxicMay2FL	D3b103B	R3b103B	103	FL	May	Oxycline	0.0509	0.0911	122.9	19.7	36.7	0	0	0	0.02	8.84	0.15	0.39	0.54	0.33	1.36	6.41	0.21	1.97
MicroOxMay1FL	D3a198B	R2a198B	195	FL	May	Oxycline	-0.0123	0.1249	31.9	18.1	36.4	0	0	0	0.02	10.97	0.03	0.58	1.53	0.78	0.45	4.75	0.6	1.33
MicroOxMay2FL	D3b198B	R2b198B	195	FL	May	Oxycline	-0.0123	0.1249	31.9	18.1	36.4	0	0	0	0.02	10.97	0.03	0.58	1.53	0.78	0.45	4.75	0.6	1.33
SubOxMay1FL	D3a234B	R2a234B	235	FL	May	Oxycline	-0.0087	0.0492	12	17.9	36.4	0	0.03	0.02	0.08	8.85	0.02	0.43	1.81	0.36	0.46	4.24	0.28	0.85
SubOxMay2FL	D3b234B	R2b234B	235	FL	May	Oxycline	-0.0087	0.0492	12	17.9	36.4	0	0.03	0.02	0.08	8.85	0.02	0.43	1.81	0.36	0.46	4.24	0.28	0.85
IntMay1FL	D3a295B	R2a295B	296	FL	May	Suboxic	-0.0005	0.0767	0	17.7	36.4	0	0.14	0.22	0.81	0.4	0.01	2.01	2.49	6.52	1.76	6.95	1.55	9.89
IntMay2FL	D3b295B	R2b295B	296	FL	May	Suboxic	-0.0005	0.0767	0	17.7	36.4	0	0.14	0.22	0.81	0.4	0.01	2.01	2.49	6.52	1.76	6.95	1.55	9.89
AnoxMay1FL	D3a314B	R2a314B	315	FL	May	ShallowAnoxic	0.0362	0.0485	0	17.6	36.4	6.76	0.46	0.2	1.75	0.02	0	4.56	2.97	12.12	1.35	5.39	0.72	1.54
AnoxMay2FL	D3b314B	R2b314B	315	FL	May	ShallowAnoxic	0.0362	0.0485	0	17.6	36.4	6.76	0.46	0.2	1.75	0.02	0	4.56	2.97	12.12	1.35	5.39	0.72	1.54
OxicNov1PA	D2a143A	R2a148A	149	PA	Nov	Oxycline	-0.0174	0.0397	82.02	19.4	36.61	0	0	0	0.02	12.33	0.07	2.15	0.65	0.13	0.13	3.88	0.4	15.13
OxicNov2PA	D2b143A	R2b148A	149	PA	Nov	Oxycline	-0.0174	0.0397	82.02	19.4	36.61	0	0	0	0.02	12.33	0.07	2.15	0.65	0.13	0.13	3.88	0.4	15.13
MicroOxNov1PA	D2a200A	R2a200A	201	PA	Nov	Oxycline	-0.0053	0.0357	14.07	18.09	36.43	0	0	0	0.01	12.52	0.07	1.67	1.36	0.35	0.29	3.34	0.3	7.83
MicroOxNov2PA	D2b200A	R2b200A	201	PA	Nov	Oxycline	-0.0053	0.0357	14.07	18.09	36.43	0	0	0	0.01	12.52	0.07	1.67	1.36	0.35	0.29	3.34	0.3	7.83
SubOxNov1PA	D2a237A	R2a237A	238	PA	Nov	Oxycline	0.0004	0.0501	0.41	17.88	36.4	0	0.03	0.02	0.01	1.69	0.27	0.63	1.48	0.53	0.16	3.19	0.28	12.26
SubOxNov2PA	D2b237A	R2b237A	238	PA	Nov	Oxycline	0.0004	0.0501	0.41	17.88	36.4	0	0.03	0.02	0.01	1.69	0.27	0.63	1.48	0.53	0.16	3.19	0.28	12.26
IntNov1PA	D2a247A	R2a247A	248	PA	Nov	Suboxic	0.0014	0.0394	0	17.83	36.39	0	0.03	0.01	0.01	3.07	0.04	0	1.92	0.53	0.21	5.57	1.06	11.48
IntNov2PA	D2b247A	R2b247A	248	PA	Nov	Suboxic	0.0014	0.0394	0	17.83	36.39	0	0.03	0.01	0.01	3.07	0.04	0	1.92	0.53	0.21	5.57	1.06	11.48
AnoxNov1PA	D2a267A	R2a267A	267	PA	Nov	Suboxic	-0.0032	0.0323	0	17.76	36.38	0	0.13	0.01	0.18	0.07	0.04	0.66	2.35	1.15	0.67	4.45	0.36	10.83
